WL = 225 --- dispersion v. WIDTH,,,,,
,TM00,TM20,TM40,TM04,TM04
150,1.87220915,2.1397663,,1.9783,1.9383
175,#ERROR!,2.19957815,,1.99795,1.95795
200,1.947995,2.25939,1.729316,2.0176,1.9776
225,1.96678375,2.2973675,1.72869475,2.0241875,1.9841875
250,1.9855725,2.335345,1.8210965,2.030775,1.990775
275,2.00436125,2.3733225,1.91349825,2.0373625,1.9973625
300,2.02315,2.4113,2.0059,2.04395,2.00395
325,2.032,2.43775,2.08565,2.04825,2.00825
350,2.04085,2.4642,2.1654,2.05255,2.01255
375,2.0471,2.481725,2.21805,2.054925,2.014925
400,2.05335,2.49925,2.2707,2.0573,2.0173
425,2.057925,2.51145,2.306875,2.05905,2.01905
450,2.0625,2.52365,2.34305,2.0608,2.0208
475,2.065975,2.532525,2.369,2.06205,2.02205
500,2.06945,2.5414,2.39495,2.0633,2.0233
525,2.0721,2.548025,2.41425,2.063725,2.023725
550,2.07475,2.55465,2.43355,2.06415,2.02415
575,2.076875,2.55975,2.448225,2.065175,2.025175
600,2.079,2.56485,2.4629,2.0662,2.0262
625,2.0807,2.56885,2.47435,2.066775,2.026775
650,2.0824,2.57285,2.4858,2.06735,2.02735
675,2.083775,2.57285,2.494925,2.067925,2.027925
700,2.08515,2.57285,2.50405,2.0685,2.0285
725,2.086525,2.575183333,2.513175,2.06921,2.02921
750,2.0879,2.577516667,2.5223,2.06992,2.02992
775,2.089275,2.57985,2.531425,2.07063,2.03063
800,2.09065,2.582183333,2.54055,2.07134,2.03134
